id,rating,title,content,userName,date
as_001,5,Great discovery,Discover Weekly keeps getting better every Monday.,ios_user_1,2025-02-02
as_002,2,Same songs,My recommendations loop the same artists constantly.,ios_user_2,2025-02-03
as_003,4,Solid app,Search could surface smaller artists more easily.,ios_user_3,2025-02-04
as_004,1,Bad shuffle,Shuffle on liked songs repeats within an hour.,ios_user_4,2025-02-05
as_005,3,Mixed feelings,Daily mixes are good but radio stations feel stale.,ios_user_5,2025-02-06
as_006,3,Topic 6,Review about Spotify discovery experience number 6.,ios_user_6,2025-02-07
as_007,2,Topic 7,Review about Spotify discovery experience number 7.,ios_user_7,2025-02-08
as_008,4,Topic 8,Review about Spotify discovery experience number 8.,ios_user_8,2025-02-09
as_009,1,Topic 9,Review about Spotify discovery experience number 9.,ios_user_9,2025-02-10
as_010,1,Topic 10,Review about Spotify discovery experience number 10.,ios_user_10,2025-02-11
as_011,5,Topic 11,Review about Spotify discovery experience number 11.,ios_user_11,2025-02-12
as_012,1,Topic 12,Review about Spotify discovery experience number 12.,ios_user_12,2025-02-13
as_013,3,Topic 13,Review about Spotify discovery experience number 13.,ios_user_13,2025-02-14
as_014,5,Topic 14,Review about Spotify discovery experience number 14.,ios_user_14,2025-02-15
as_015,1,Topic 15,Review about Spotify discovery experience number 15.,ios_user_15,2025-02-16
as_016,5,Topic 16,Review about Spotify discovery experience number 16.,ios_user_16,2025-02-17
as_017,2,Topic 17,Review about Spotify discovery experience number 17.,ios_user_17,2025-02-18
as_018,1,Topic 18,Review about Spotify discovery experience number 18.,ios_user_18,2025-02-19
as_019,1,Topic 19,Review about Spotify discovery experience number 19.,ios_user_19,2025-02-20
as_020,4,Topic 20,Review about Spotify discovery experience number 20.,ios_user_20,2025-02-21
as_021,4,Topic 21,Review about Spotify discovery experience number 21.,ios_user_21,2025-02-22
as_022,1,Topic 22,Review about Spotify discovery experience number 22.,ios_user_22,2025-02-23
as_023,2,Topic 23,Review about Spotify discovery experience number 23.,ios_user_23,2025-02-24
as_024,1,Topic 24,Review about Spotify discovery experience number 24.,ios_user_24,2025-02-25
as_025,5,Topic 25,Review about Spotify discovery experience number 25.,ios_user_25,2025-02-26
as_026,4,Topic 26,Review about Spotify discovery experience number 26.,ios_user_26,2025-02-27
as_027,1,Topic 27,Review about Spotify discovery experience number 27.,ios_user_27,2025-02-28
as_028,5,Topic 28,Review about Spotify discovery experience number 28.,ios_user_28,2025-03-01
as_029,1,Topic 29,Review about Spotify discovery experience number 29.,ios_user_29,2025-03-02
as_030,2,Topic 30,Review about Spotify discovery experience number 30.,ios_user_30,2025-03-03
